1. film tablosunda bulunan title ve description sütunlarındaki verileri sıralayınız.
"title","description"
"Slacker Liaisons","A Fast-Paced Tale of a A Shark And a Student who must Meet a Crocodile in Ancient China"
"Sleeping Suspects","A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention"
"Sleepless Monsoon","A Amazing Saga of a Moose And a Pastry Chef who must Escape a Butler in Australia"
"Sleepy Japanese","A Emotional Epistle of a Moose And a Composer who must Fight a Technical Writer in The Outback"
"Sleuth Orient","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India"
"Sling Luke","A Intrepid Character Study of a Robot And a Monkey who must Reach a Secret Agent in An Abandoned Amusement Park"
"Slipper Fidelity","A Taut Reflection of a Secret Agent And a Man who must Redeem a Explorer in A MySQL Convention"
"Slums Duck","A Amazing Character Study of a Teacher And a Database Administrator who must Defeat a Waitress in A Jet Boat"
"Smile Earring","A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin"
"Smoking Barbarella","A Lacklusture Saga of a Mad Cow And a Mad Scientist who must Sink a Cat in A MySQL Convention"
"Smoochy Control","A Thrilling Documentary of a Husband And a Feminist who must Face a Mad Scientist in Ancient China"
"Snatch Slipper","A Insightful Panorama of a Woman And a Feminist who must Defeat a Forensic Psychologist in Berlin"
"Snatchers Montezuma","A Boring Epistle of a Sumo Wrestler And a Woman who must Escape a Man in The Canadian Rockies"
"Snowman Rollercoaster","A Fateful Display of a Lumberjack And a Girl who must Succumb a Mad Cow in A Manhattan Penthouse"
"Soldiers Evolution","A Lacklusture Panorama of a A Shark And a Pioneer who must Confront a Student in The First Manned Space Station"
"Something Duck","A Boring Character Study of a Car And a Husband who must Outgun a Frisbee in The First Manned Space Station"
"Song Hedwig","A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention"
"Sons Interview","A Taut Character Study of a Explorer And a Mad Cow who must Battle a Hunter in Ancient China"
"Sorority Queen","A Fast-Paced Display of a Squirrel And a Composer who must Fight a Forensic Psychologist in A Jet Boat"
"Soup Wisdom","A Fast-Paced Display of a Robot And a Butler who must Defeat a Butler in A MySQL Convention"
"South Wait","A Amazing Documentary of a Car And a Robot who must Escape a Lumberjack in An Abandoned Amusement Park"
"Spartacus Cheaper","A Thrilling Panorama of a Pastry Chef And a Secret Agent who must Overcome a Student in A Manhattan Penthouse"
"Speakeasy Date","A Lacklusture Drama of a Forensic Psychologist And a Car who must Redeem a Man in A Manhattan Penthouse"
"Speed Suit","A Brilliant Display of a Frisbee And a Mad Scientist who must Succumb a Robot in Ancient China"
"Spice Sorority","A Fateful Display of a Pioneer And a Hunter who must Defeat a Husband in An Abandoned Mine Shaft"
"Spiking Element","A Lacklusture Epistle of a Dentist And a Technical Writer who must Find a Dog in A Monastery"
"Spinal Rocky","A Lacklusture Epistle of a Sumo Wrestler And a Squirrel who must Defeat a Explorer in California"
"Spirit Flintstones","A Brilliant Yarn of a Cat And a Car who must Confront a Explorer in Ancient Japan"
"Spirited Casualties","A Taut Story of a Waitress And a Man who must Face a Car in A Baloon Factory"
"Splash Gump","A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank"
"Splendor Patton","A Taut Story of a Dog And a Explorer who must Find a Astronaut in Berlin"
"Spoilers Hellfighters","A Fanciful Story of a Technical Writer And a Squirrel who must Defeat a Dog in The Gulf of Mexico"
"Spy Mile","A Thrilling Documentary of a Feminist And a Feminist who must Confront a Feminist in A Baloon"
"Squad Fish","A Fast-Paced Display of a Pastry Chef And a Dog who must Kill a Teacher in Berlin"
"Stage World","A Lacklusture Panorama of a Woman And a Frisbee who must Chase a Crocodile in A Jet Boat"
"Stagecoach Armageddon","A Touching Display of a Pioneer And a Butler who must Chase a Car in California"
"Stallion Sundance","A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia"
"Stampede Disturbing","A Unbelieveable Tale of a Woman And a Lumberjack who must Fight a Frisbee in A U-Boat"
"Star Operation","A Insightful Character Study of a Girl And a Car who must Pursue a Mad Cow in A Shark Tank"
"State Wasteland","A Beautiful Display of a Cat And a Pastry Chef who must Outrace a Mad Cow in A Jet Boat"
"Steel Santa","A Fast-Paced Yarn of a Composer And a Frisbee who must Face a Moose in Nigeria"
"Steers Armageddon","A Stunning Character Study of a Car And a Girl who must Succumb a Car in A MySQL Convention"
"Stepmom Dream","A Touching Epistle of a Crocodile And a Teacher who must Build a Forensic Psychologist in A MySQL Convention"
"Sting Personal","A Fanciful Drama of a Frisbee And a Dog who must Fight a Madman in A Jet Boat"
"Stock Glass","A Boring Epistle of a Crocodile And a Lumberjack who must Outgun a Moose in Ancient China"
"Stone Fire","A Intrepid Drama of a Astronaut And a Crocodile who must Find a Boat in Soviet Georgia"
"Storm Happiness","A Insightful Drama of a Feminist And a A Shark who must Vanquish a Boat in A Shark Tank"
"Story Side","A Lacklusture Saga of a Boy And a Cat who must Sink a Dentist in An Abandoned Mine Shaft"
"Straight Hours","A Boring Panorama of a Secret Agent And a Girl who must Sink a Waitress in The Outback"
"Strangelove Desire","A Awe-Inspiring Panorama of a Lumberjack And a Waitress who must Defeat a Crocodile in An Abandoned Amusement Park"
"Stranger Strangers","A Awe-Inspiring Yarn of a Womanizer And a Explorer who must Fight a Woman in The First Manned Space Station"
"Tights Dawn","A Thrilling Epistle of a Boat And a Secret Agent who must Face a Boy in A Baloon"
"Strangers Graffiti","A Brilliant Character Study of a Secret Agent And a Man who must Find a Cat in The Gulf of Mexico"
"Streak Ridgemont","A Astounding Character Study of a Hunter And a Waitress who must Sink a Man in New Orleans"
"Streetcar Intentions","A Insightful Character Study of a Waitress And a Crocodile who must Sink a Waitress in The Gulf of Mexico"
"Strictly Scarface","A Touching Reflection of a Crocodile And a Dog who must Chase a Hunter in An Abandoned Fun House"
"Submarine Bed","A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia"
"Sugar Wonka","A Touching Story of a Dentist And a Database Administrator who must Conquer a Astronaut in An Abandoned Amusement Park"
"Suicides Silence","A Emotional Character Study of a Car And a Girl who must Face a Composer in A U-Boat"
"Suit Walls","A Touching Panorama of a Lumberjack And a Frisbee who must Build a Dog in Australia"
"Summer Scarface","A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank"
"Sun Confessions","A Beautiful Display of a Mad Cow And a Dog who must Redeem a Waitress in An Abandoned Amusement Park"
"Sundance Invasion","A Epic Drama of a Lumberjack And a Explorer who must Confront a Hunter in A Baloon Factory"
"Sunrise League","A Beautiful Epistle of a Madman And a Butler who must Face a Crocodile in A Manhattan Penthouse"
"Sunset Racer","A Awe-Inspiring Reflection of a Astronaut And a A Shark who must Defeat a Forensic Psychologist in California"
"Super Wyoming","A Action-Packed Saga of a Pastry Chef And a Explorer who must Discover a A Shark in The Outback"
"Superfly Trip","A Beautiful Saga of a Lumberjack And a Teacher who must Build a Technical Writer in An Abandoned Fun House"
"Suspects Quills","A Emotional Epistle of a Pioneer And a Crocodile who must Battle a Man in A Manhattan Penthouse"
"Swarm Gold","A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention"
"Sweden Shining","A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies"
"Timberland Sky","A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat"
"Sweet Brotherhood","A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Chase a Forensic Psychologist in A Baloon"
"Sweethearts Suspects","A Brilliant Character Study of a Frisbee And a Sumo Wrestler who must Confront a Woman in The Gulf of Mexico"
"Tadpole Park","A Beautiful Tale of a Frisbee And a Moose who must Vanquish a Dog in An Abandoned Amusement Park"
"Talented Homicide","A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat"
"Tarzan Videotape","A Fast-Paced Display of a Lumberjack And a Mad Scientist who must Succumb a Sumo Wrestler in The Sahara Desert"
"Taxi Kick","A Amazing Epistle of a Girl And a Woman who must Outrace a Waitress in Soviet Georgia"
"Teen Apollo","A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank"
"Telegraph Voyage","A Fateful Yarn of a Husband And a Dog who must Battle a Waitress in A Jet Boat"
"Telemark Heartbreakers","A Action-Packed Panorama of a Technical Writer And a Man who must Build a Forensic Psychologist in A Manhattan Penthouse"
"Temple Attraction","A Action-Packed Saga of a Forensic Psychologist And a Woman who must Battle a Womanizer in Soviet Georgia"
"Tenenbaums Command","A Taut Display of a Pioneer And a Man who must Reach a Girl in The Gulf of Mexico"
"Tequila Past","A Action-Packed Panorama of a Mad Scientist And a Robot who must Challenge a Student in Nigeria"
"Terminator Club","A Touching Story of a Crocodile And a Girl who must Sink a Man in The Gulf of Mexico"
"Texas Watch","A Awe-Inspiring Yarn of a Student And a Teacher who must Fight a Teacher in An Abandoned Amusement Park"
"Theory Mermaid","A Fateful Yarn of a Composer And a Monkey who must Vanquish a Womanizer in The First Manned Space Station"
"Thief Pelican","A Touching Documentary of a Madman And a Mad Scientist who must Outrace a Feminist in An Abandoned Mine Shaft"
"Thin Sagebrush","A Emotional Drama of a Husband And a Lumberjack who must Build a Cat in Ancient India"
"Ties Hunger","A Insightful Saga of a Astronaut And a Explorer who must Pursue a Mad Scientist in A U-Boat"
"Titanic Boondock","A Brilliant Reflection of a Feminist And a Dog who must Fight a Boy in A Baloon Factory"
"Titans Jerk","A Unbelieveable Panorama of a Feminist And a Sumo Wrestler who must Challenge a Technical Writer in Ancient China"
"Tomatoes Hellfighters","A Thoughtful Epistle of a Madman And a Astronaut who must Overcome a Monkey in A Shark Tank"
"Tomorrow Hustler","A Thoughtful Story of a Moose And a Husband who must Face a Secret Agent in The Sahara Desert"
"Tootsie Pilot","A Awe-Inspiring Documentary of a Womanizer And a Pastry Chef who must Kill a Lumberjack in Berlin"
"Torque Bound","A Emotional Display of a Crocodile And a Husband who must Reach a Man in Ancient Japan"
"Tourist Pelican","A Boring Story of a Butler And a Astronaut who must Outrace a Pioneer in Australia"
"Towers Hurricane","A Fateful Display of a Monkey And a Car who must Sink a Husband in A MySQL Convention"
"Town Ark","A Awe-Inspiring Documentary of a Moose And a Madman who must Meet a Dog in An Abandoned Mine Shaft"
"Tracy Cider","A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria"
"Trading Pinocchio","A Emotional Character Study of a Student And a Explorer who must Discover a Frisbee in The First Manned Space Station"
"Traffic Hobbit","A Amazing Epistle of a Squirrel And a Lumberjack who must Succumb a Database Administrator in A U-Boat"
"Train Bunch","A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India"
"Trainspotting Strangers","A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan"
"Tramp Others","A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India"
"Translation Summer","A Touching Reflection of a Man And a Monkey who must Pursue a Womanizer in A MySQL Convention"
"Trap Guys","A Unbelieveable Story of a Boy And a Mad Cow who must Challenge a Database Administrator in The Sahara Desert"
"Treasure Command","A Emotional Saga of a Car And a Madman who must Discover a Pioneer in California"
"Treatment Jekyll","A Boring Story of a Teacher And a Student who must Outgun a Cat in An Abandoned Mine Shaft"
"Trip Newton","A Fanciful Character Study of a Lumberjack And a Car who must Discover a Cat in An Abandoned Amusement Park"
"Trojan Tomorrow","A Astounding Panorama of a Husband And a Sumo Wrestler who must Pursue a Boat in Ancient India"
"Troopers Metal","A Fanciful Drama of a Monkey And a Feminist who must Sink a Man in Berlin"
"Trouble Date","A Lacklusture Panorama of a Forensic Psychologist And a Woman who must Kill a Explorer in Ancient Japan"
"Truman Crazy","A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery"
"Turn Star","A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans"
"Tuxedo Mile","A Boring Drama of a Man And a Forensic Psychologist who must Face a Frisbee in Ancient India"
"Twisted Pirates","A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention"
"Tycoon Gathering","A Emotional Display of a Husband And a A Shark who must Succumb a Madman in A Manhattan Penthouse"
"Unbreakable Karate","A Amazing Character Study of a Robot And a Student who must Chase a Robot in Australia"
"Uncut Suicides","A Intrepid Yarn of a Explorer And a Pastry Chef who must Pursue a Mad Cow in A U-Boat"
"Undefeated Dalmations","A Unbelieveable Display of a Crocodile And a Feminist who must Overcome a Moose in An Abandoned Amusement Park"
"Unfaithful Kill","A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans"
"Unforgiven Zoolander","A Taut Epistle of a Monkey And a Sumo Wrestler who must Vanquish a A Shark in A Baloon Factory"
"United Pilot","A Fast-Paced Reflection of a Cat And a Mad Cow who must Fight a Car in The Sahara Desert"
"Untouchables Sunrise","A Amazing Documentary of a Woman And a Astronaut who must Outrace a Teacher in An Abandoned Fun House"
"Uprising Uptown","A Fanciful Reflection of a Boy And a Butler who must Pursue a Woman in Berlin"
"Uptown Young","A Fateful Documentary of a Dog And a Hunter who must Pursue a Teacher in An Abandoned Amusement Park"
"Usual Untouchables","A Touching Display of a Explorer And a Lumberjack who must Fight a Forensic Psychologist in A Shark Tank"
"Vacation Boondock","A Fanciful Character Study of a Secret Agent And a Mad Scientist who must Reach a Teacher in Australia"
"Valentine Vanishing","A Thrilling Display of a Husband And a Butler who must Reach a Pastry Chef in California"
"Valley Packer","A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin"
"Vampire Whale","A Epic Story of a Lumberjack And a Monkey who must Confront a Pioneer in A MySQL Convention"
"Vanilla Day","A Fast-Paced Saga of a Girl And a Forensic Psychologist who must Redeem a Girl in Nigeria"
"Vanished Garden","A Intrepid Character Study of a Squirrel And a A Shark who must Kill a Lumberjack in California"
"Vanishing Rocky","A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention"
"Varsity Trip","A Action-Packed Character Study of a Astronaut And a Explorer who must Reach a Monkey in A MySQL Convention"
"Velvet Terminator","A Lacklusture Tale of a Pastry Chef And a Technical Writer who must Confront a Crocodile in An Abandoned Amusement Park"
"Vertigo Northwest","A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan"
"Victory Academy","A Insightful Epistle of a Mad Scientist And a Explorer who must Challenge a Cat in The Sahara Desert"
"Videotape Arsenic","A Lacklusture Display of a Girl And a Astronaut who must Succumb a Student in Australia"
"Vietnam Smoochy","A Lacklusture Display of a Butler And a Man who must Sink a Explorer in Soviet Georgia"
"Villain Desperate","A Boring Yarn of a Pioneer And a Feminist who must Redeem a Cat in An Abandoned Amusement Park"
"Virgin Daisy","A Awe-Inspiring Documentary of a Robot And a Mad Scientist who must Reach a Database Administrator in A Shark Tank"
"Virginian Pluto","A Emotional Panorama of a Dentist And a Crocodile who must Meet a Boy in Berlin"
"Virtual Spoilers","A Fateful Tale of a Database Administrator And a Squirrel who must Discover a Student in Soviet Georgia"
"Vision Torque","A Thoughtful Documentary of a Dog And a Man who must Sink a Man in A Shark Tank"
"Voice Peach","A Amazing Panorama of a Pioneer And a Student who must Overcome a Mad Scientist in A Manhattan Penthouse"
"Volcano Texas","A Awe-Inspiring Yarn of a Hunter And a Feminist who must Challenge a Dentist in The Outback"
"Volume House","A Boring Tale of a Dog And a Woman who must Meet a Dentist in California"
"Voyage Legally","A Epic Tale of a Squirrel And a Hunter who must Conquer a Boy in An Abandoned Mine Shaft"
"Wagon Jaws","A Intrepid Drama of a Moose And a Boat who must Kill a Explorer in A Manhattan Penthouse"
"Wait Cider","A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse"
"Wake Jaws","A Beautiful Saga of a Feminist And a Composer who must Challenge a Moose in Berlin"
"Walls Artist","A Insightful Panorama of a Teacher And a Teacher who must Overcome a Mad Cow in An Abandoned Fun House"
"Wanda Chamber","A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback"
"War Notting","A Boring Drama of a Teacher And a Sumo Wrestler who must Challenge a Secret Agent in The Canadian Rockies"
"Wardrobe Phantom","A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India"
"Warlock Werewolf","A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback"
"Wars Pluto","A Taut Reflection of a Teacher And a Database Administrator who must Chase a Madman in The Sahara Desert"
"Wash Heavenly","A Awe-Inspiring Reflection of a Cat And a Pioneer who must Escape a Hunter in Ancient China"
"Wasteland Divine","A Fanciful Story of a Database Administrator And a Womanizer who must Fight a Database Administrator in Ancient China"
"Watch Tracy","A Fast-Paced Yarn of a Dog And a Frisbee who must Conquer a Hunter in Nigeria"
"Waterfront Deliverance","A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria"
"Watership Frontier","A Emotional Yarn of a Boat And a Crocodile who must Meet a Moose in Soviet Georgia"
"Wedding Apollo","A Action-Packed Tale of a Student And a Waitress who must Conquer a Lumberjack in An Abandoned Mine Shaft"
"Weekend Personal","A Fast-Paced Documentary of a Car And a Butler who must Find a Frisbee in A Jet Boat"
"Werewolf Lola","A Fanciful Story of a Man And a Sumo Wrestler who must Outrace a Student in A Monastery"
"West Lion","A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse"
"Westward Seabiscuit","A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China"
"Whale Bikini","A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention"
"Whisperer Giant","A Intrepid Story of a Dentist And a Hunter who must Confront a Monkey in Ancient Japan"
"Wife Turn","A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan"
"Wild Apollo","A Beautiful Story of a Monkey And a Sumo Wrestler who must Conquer a A Shark in A MySQL Convention"
"Willow Tracy","A Brilliant Panorama of a Boat And a Astronaut who must Challenge a Teacher in A Manhattan Penthouse"
"Wind Phantom","A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft"
"Window Side","A Astounding Character Study of a Womanizer And a Hunter who must Escape a Robot in A Monastery"
"Wisdom Worker","A Unbelieveable Saga of a Forensic Psychologist And a Student who must Face a Squirrel in The First Manned Space Station"
"Witches Panic","A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria"
"Wizard Coldblooded","A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention"
"Wolves Desire","A Fast-Paced Drama of a Squirrel And a Robot who must Succumb a Technical Writer in A Manhattan Penthouse"
"Women Dorado","A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia"
"Won Dares","A Unbelieveable Documentary of a Teacher And a Monkey who must Defeat a Explorer in A U-Boat"
"Wonderful Drop","A Boring Panorama of a Woman And a Madman who must Overcome a Butler in A U-Boat"
"Wonderland Christmas","A Awe-Inspiring Character Study of a Waitress And a Car who must Pursue a Mad Scientist in The First Manned Space Station"
"Wonka Sea","A Brilliant Saga of a Boat And a Mad Scientist who must Meet a Moose in Ancient India"
"Words Hunter","A Action-Packed Reflection of a Composer And a Mad Scientist who must Face a Pioneer in A MySQL Convention"
"Worker Tarzan","A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station"
"Working Microcosmos","A Stunning Epistle of a Dentist And a Dog who must Kill a Madman in Ancient China"
"World Leathernecks","A Unbelieveable Tale of a Pioneer And a Astronaut who must Overcome a Robot in An Abandoned Amusement Park"
"Worst Banger","A Thrilling Drama of a Madman And a Dentist who must Conquer a Boy in The Outback"
"Wrath Mile","A Intrepid Reflection of a Technical Writer And a Hunter who must Defeat a Sumo Wrestler in A Monastery"
"Wrong Behavior","A Emotional Saga of a Crocodile And a Sumo Wrestler who must Discover a Mad Cow in New Orleans"
"Wyoming Storm","A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat"
"Yentl Idaho","A Amazing Display of a Robot And a Astronaut who must Fight a Womanizer in Berlin"
"Young Language","A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station"
"Youth Kick","A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat"
"Zhivago Core","A Fateful Yarn of a Composer And a Man who must Face a Boy in The Canadian Rockies"
"Zoolander Fiction","A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China"
"Zorro Ark","A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery"

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2- film tablosunda bulunan tüm sütunlardaki verileri film uzunluğu (length) 60 dan büyük VE 75 ten küçük olma koşullarıyla sıralayınız.

"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
98,"Bright Encounters","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat",2006,1,4,4.99,73,12.99,"PG-13","2013-05-26 14:50:58.951","{Trailers}","'boat':20 'bright':1 'conquer':14 'encount':2 'fate':4 'feminist':11 'jet':19 'lumberjack':8 'must':13 'student':16 'yarn':5"
7,"Airplane Sierra","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,1,6,4.99,62,28.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'airplan':1 'boat':20 'butler':11,16 'discov':14 'hunter':8 'jet':19 'must':13 'saga':5 'sierra':2 'touch':4"
10,"Aladdin Calendar","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,1,6,4.99,63,24.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'action':5 'action-pack':4 'aladdin':1 'ancient':20 'calendar':2 'china':21 'feminist':18 'lumberjack':13 'man':10 'must':15 'pack':6 'reach':16 'tale':7"
25,"Angels Life","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,1,3,2.99,74,15.99,"G","2013-05-26 14:50:58.951","{Trailers}","'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8"
34,"Arabia Dogma","A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria",2006,1,6,0.99,62,29.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'arabia':1 'cow':12 'defeat':15 'dogma':2 'epistl':5 'mad':11 'madman':8 'must':14 'nigeria':19 'student':17 'touch':4"
38,"Ark Ridgemont","A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert",2006,1,6,0.99,68,25.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ark':1 'beauti':4 'desert':20 'explor':16 'monkey':11 'must':13 'pioneer':8 'pursu':14 'ridgemont':2 'sahara':19 'yarn':5"
55,"Barbarella Streetcar","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery",2006,1,6,2.99,65,27.99,"G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2"
63,"Bedazzled Married","A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House",2006,1,6,0.99,73,21.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'abandon':21 'astound':4 'bedazzl':1 'charact':5 'fun':22 'hous':23 'mad':17 'madman':9 'marri':2 'meet':15 'must':14 'robot':12 'scientist':18 'studi':6"
77,"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,5,4.99,61,15.99,"G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8"
82,"Blood Argonauts","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse",2006,1,3,0.99,71,13.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'argonaut':2 'blood':1 'bore':4 'drama':5 'explor':8 'kill':14 'lumberjack':16 'man':11 'manhattan':19 'must':13 'penthous':20"
85,"Bonnie Holocaust","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan",2006,1,4,0.99,63,29.99,"G","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'ancient':20 'bonni':1 'crocodil':10 'fast':5 'fast-pac':4 'find':16 'holocaust':2 'japan':21 'moos':18 'must':15 'pace':6 'robot':13 'stori':7"
89,"Borrowers Bedazzled","A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House",2006,1,7,0.99,63,22.99,"G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'bedazzl':2 'borrow':1 'brilliant':4 'defeat':15 'epistl':5 'fun':21 'hous':22 'man':17 'must':14 'sumo':11 'teacher':8 'wrestler':12"
90,"Boulevard Mob","A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China",2006,1,3,0.99,63,11.99,"R","2013-05-26 14:50:58.951","{Trailers}","'ancient':18 'boulevard':1 'china':19 'confront':14 'epistl':5 'fate':4 'lumberjack':16 'mob':2 'monkey':11 'moos':8 'must':13"
92,"Bowfinger Gables","A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California",2006,1,7,4.99,72,19.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'bowfing':1 'california':20 'compos':13 'dentist':18 'fast':5 'fast-pac':4 'gabl':2 'must':15 'outgun':16 'pace':6 'waitress':10 'yarn':7"
101,"Brotherhood Blanket","A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan",2006,1,3,0.99,73,26.99,"R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'ancient':20 'astronaut':18 'blanket':2 'brotherhood':1 'butler':9 'charact':5 'fate':4 'japan':21 'must':15 'sink':16 'studi':6 'technic':12 'writer':13"
106,"Bulworth Commandments","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",2006,1,4,2.99,61,14.99,"G","2013-05-26 14:50:58.951","{Trailers}","'amaz':4 'bulworth':1 'command':2 'cow':9 'display':5 'mad':8 'must':14 'outback':21 'pioneer':12 'redeem':15 'sumo':17 'wrestler':18"
107,"Bunch Minds","A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention",2006,1,4,2.99,63,13.99,"G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'bunch':1 'chef':17 'convent':21 'emot':4 'escap':14 'feminist':8,11 'mind':2 'must':13 'mysql':20 'pastri':16 'stori':5"
108,"Butch Panther","A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans",2006,1,6,0.99,67,19.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'administr':12 'butch':1 'databas':11 'face':15 'feminist':8 'hunter':17 'lacklustur':4 'must':14 'new':19 'orlean':20 'panther':2 'yarn':5"
